figure_id,value,confirmed,checked_against
countryPop.Australia.pop,0.8,no,
countryPop.Bahrain.pop,1.2,no,
countryPop.Bangladesh.pop,151,no,
countryPop.Brazil.pop,0.2,no,
countryPop.Brunei.pop,0.4,no,
countryPop.China.pop,25,no,
countryPop.Egypt.pop,90,no,
countryPop.Ethiopia.pop,38,no,
countryPop.France.pop,6,no,
countryPop.Germany.pop,5,no,
countryPop.India.pop,200,no,
countryPop.Indonesia.pop,236,no,
countryPop.Iran.pop,83,no,
countryPop.Iraq.pop,40,no,
countryPop.Jordan.pop,10,no,
countryPop.Kuwait.pop,3.5,no,
countryPop.Malaysia.pop,21,no,
countryPop.Mali.pop,20,no,
countryPop.Morocco.pop,37,no,
countryPop.Niger.pop,24,no,
countryPop.Nigeria.pop,99,no,
countryPop.Oman.pop,4,no,
countryPop.Pakistan.pop,231,no,
countryPop.Qatar.pop,2,no,
countryPop.Russia.pop,20,no,
countryPop.Saudi-Arabia.pop,34,no,
countryPop.Senegal.pop,17,no,
countryPop.Singapore.pop,0.9,no,
countryPop.Sudan.pop,42,no,
countryPop.Syria.pop,19,no,
countryPop.Tanzania.pop,22,no,
countryPop.Türkiye.pop,81,no,
countryPop.United-Arab-Emirates.pop,7,no,
countryPop.United-Kingdom.pop,4,no,
countryPop.United-States.pop,4,no,
countryPop.Uzbekistan.pop,30,no,
countryPop.Yemen.pop,30,no,
countryTrade.Malaysia.imports,30.6,no,
deals.2024/25/Country/Indonesia.n,40,no,
deals.2024/25/Country/Indonesia.v,1.6,no,
deals.2024/25/Country/United-Arab-Emirates.n,50,no,
deals.2024/25/Country/United-Arab-Emirates.v,1.53,no,
deals.2024/25/Global/All-Islamic-economy-sectors.n,225,no,
deals.2024/25/Global/All-Islamic-economy-sectors.v,5.8,no,
deals.2024/25/Halal-food-by-country/Indonesia.v,0.115,no,
deals.2024/25/Halal-food-by-country/Morocco.v,0.61,no,
deals.2024/25/Halal-food-by-country/Nigeria.v,0.016,no,
deals.2024/25/Halal-food-by-country/Saudi-Arabia.v,0.144,no,
deals.2024/25/Halal-food-by-country/United-Arab-Emirates.v,0.398,no,
deals.2024/25/Sector/Halal-food.n,29,no,
deals.2024/25/Sector/Halal-food.v,1.3,no,
deals.2025/26/Global/All-Islamic-economy-sectors.n,346,yes,sgie2526
deals.2025/26/Global/All-Islamic-economy-sectors.v,13.11,yes,sgie2526
finComposition.Funds-&-takaful.v,5.1,no,
finComposition.Islamic-banking.v,71.6,no,
finComposition.Sukuk-outstanding.v,23.3,no,
finGrowth.Islamic-banking.v,17.1,yes,ifsb2025
finGrowth.Sukuk-issuance.v,25.6,yes,ifsb2025
finGrowth.Takaful-(insurance).v,16.9,yes,ifsb2025
finShareCountries.Bahrain.v,3.5,yes,gfmag
finShareCountries.Indonesia.v,2,yes,gfmag
finShareCountries.Iran.v,27,no,
finShareCountries.Kuwait.v,5.5,yes,gfmag
finShareCountries.Malaysia.v,12,yes,gfmag
finShareCountries.Pakistan.v,2,yes,gfmag
finShareCountries.Qatar.v,5.5,yes,gfmag
finShareCountries.Saudi-Arabia.v,27,no,
finShareCountries.Türkiye.v,3.5,yes,gfmag
finShareCountries.UAE.v,10,yes,gfmag
hajj.2012.v,3.16,no,
hajj.2019.v,2.49,no,
hajj.2020.v,0.01,no,
hajj.2021.v,0.06,no,
hajj.2022.v,0.93,no,
hajj.2023.v,1.85,no,
hajj.2024.v,1.83,no,
hajj.2025.v,1.67,no,
hajj.2026.v,1.71,no,
islamicFinance.2021.v,3.96,no,
islamicFinance.2023.v,4.93,no,
islamicFinance.2024.v,5.99,yes,sgie2526
islamicFinance.2029.v,9.72,yes,sgie2526
oicImports.2022.v,359,no,
oicImports.2023.v,407.8,no,
oicImports.2024.v,421.5,yes,sgie2526
oicImports.2028.v,608.4,yes,sgie2526
rankHistory.Bahrain.2019/20,3,no,
rankHistory.Bahrain.2023/24,5,no,
rankHistory.Bahrain.2024/25,5,no,
rankHistory.Bahrain.2025/26,5,yes,sgiePress
rankHistory.Indonesia.2019/20,5,no,
rankHistory.Indonesia.2023/24,3,no,
rankHistory.Indonesia.2024/25,3,no,
rankHistory.Indonesia.2025/26,4,yes,sgiePress
rankHistory.Malaysia.2019/20,1,no,
rankHistory.Malaysia.2023/24,1,no,
rankHistory.Malaysia.2024/25,1,no,
rankHistory.Malaysia.2025/26,1,yes,sgiePress
rankHistory.Saudi-Arabia.2019/20,4,no,
rankHistory.Saudi-Arabia.2023/24,2,no,
rankHistory.Saudi-Arabia.2024/25,2,no,
rankHistory.Saudi-Arabia.2025/26,3,yes,sgiePress
rankHistory.United-Arab-Emirates.2019/20,2,no,
rankHistory.United-Arab-Emirates.2023/24,4,no,
rankHistory.United-Arab-Emirates.2024/25,4,no,
rankHistory.United-Arab-Emirates.2025/26,2,yes,sgiePress
sectorRanks.Bahrain.fin,4,no,
sectorRanks.Indonesia.fashion,1,no,
sectorRanks.Indonesia.pharma,2,no,
sectorRanks.Indonesia.travel,2,no,
sectorRanks.Malaysia.fashion,4,yes,sgiePress
sectorRanks.Malaysia.fin,1,yes,sgiePress
sectorRanks.Malaysia.food,1,yes,sgiePress
sectorRanks.Malaysia.media,2,yes,sgiePress
sectorRanks.Malaysia.pharma,1,yes,sgiePress
sectorRanks.Malaysia.travel,4,yes,sgiePress
sectorRanks.Saudi-Arabia.fin,2,no,
sectorRanks.Türkiye.fashion,2,no,
sectorRanks.United-Arab-Emirates.fashion,2,no,
sectorRanks.United-Arab-Emirates.fin,3,no,
sectorRanks.United-Arab-Emirates.food,2,no,
sectorRanks.United-Arab-Emirates.media,1,no,
sectorRanks.United-Arab-Emirates.pharma,2,no,
sectorRanks.United-Arab-Emirates.travel,2,no,
sectors.cosm.cagr,6.2,yes,derived
sectors.cosm.v2024,92,yes,sgie2526
sectors.cosm.v2029,124,yes,sgie2526
sectors.fashion.cagr,5.1,yes,derived
sectors.fashion.v2024,347,yes,sgie2526
sectors.fashion.v2029,444,yes,sgie2526
sectors.food.cagr,6.1,yes,derived
sectors.food.v2024,1530,yes,sgie2526
sectors.food.v2029,2058,yes,sgie2526
sectors.media.cagr,5.7,yes,derived
sectors.media.v2024,276,yes,sgie2526
sectors.media.v2029,364,yes,sgie2526
sectors.pharma.cagr,5.5,yes,derived
sectors.pharma.v2024,112,yes,sgie2526
sectors.pharma.v2029,146,yes,sgie2526
sectors.travel.cagr,11.2,yes,derived
sectors.travel.v2024,249,yes,sgie2526
sectors.travel.v2029,424,yes,sgie2526
